2019-09-29 18:28:35.09: SIM {TimeUS : 47728401, Roll : 0.06, Pitch : -0.07, Yaw : 170.04, Alt : 95.3700027466, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867948532104, Q2 : 0.000686982704792, Q3 : 0.000546012015548, Q4 : 0.996225833893}
2019-09-29 18:28:35.19: SIM {TimeUS : 47828361, Roll : 0.03, Pitch : -0.06, Yaw : 170.03, Alt : 95.5999984741, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868177935481, Q2 : 0.000565591617487, Q3 : 0.000252214202192, Q4 : 0.996224045753}
2019-09-29 18:28:35.29: SIM {TimeUS : 47928321, Roll : 0.0, Pitch : -0.05, Yaw : 170.03, Alt : 95.8300018311, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868339240551, Q2 : 0.000467524136184, Q3 : 3.91596622649e-05, Q4 : 0.996222674847}
2019-09-29 18:28:35.39: SIM {TimeUS : 48028281, Roll : 0.0, Pitch : -0.06, Yaw : 170.03, Alt : 96.0599975586, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868402719498, Q2 : 0.000570107367821, Q3 : 2.79117939499e-05, Q4 : 0.9962220788}
2019-09-29 18:28:35.49: SIM {TimeUS : 48128241, Roll : 0.0, Pitch : -0.07, Yaw : 170.03, Alt : 96.2900009155, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868316292763, Q2 : 0.000617991143372, Q3 : 1.99245532713e-05, Q4 : 0.996222794056}
2019-09-29 18:28:35.59: SIM {TimeUS : 48228201, Roll : 0.0, Pitch : -0.07, Yaw : 170.03, Alt : 96.5199966431, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868173018098, Q2 : 0.000695214665029, Q3 : 2.99975567941e-06, Q4 : 0.996223986149}
2019-09-29 18:28:35.69: SIM {TimeUS : 48328161, Roll : -0.01, Pitch : -0.07, Yaw : 170.04, Alt : 96.7600021362, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867963209748, Q2 : 0.000676980766002, Q3 : -0.000156187074026, Q4 : 0.996225893497}
2019-09-29 18:28:35.80: SIM {TimeUS : 48428954, Roll : -0.03, Pitch : -0.07, Yaw : 170.04, Alt : 96.9899978638, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.086776830256, Q2 : 0.000592558644712, Q3 : -0.000374611146981, Q4 : 0.996227562428}
2019-09-29 18:28:35.90: SIM {TimeUS : 48528914, Roll : -0.06, Pitch : -0.04, Yaw : 170.04, Alt : 97.2200012207, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867659077048, Q2 : 0.000322678388329, Q3 : -0.000577966857236, Q4 : 0.996228516102}
2019-09-29 18:28:36.00: SIM {TimeUS : 48628874, Roll : -0.08, Pitch : -0.02, Yaw : 170.04, Alt : 97.4499969482, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0867586135864, Q2 : 0.000113964168122, Q3 : -0.000716864422429, Q4 : 0.996229112148}
2019-09-29 18:28:36.10: SIM {TimeUS : 48728834, Roll : -0.09, Pitch : 0.0, Yaw : 170.04, Alt : 97.6900024414, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0867547094822, Q2 : -1.39790154208e-05, Q3 : -0.000814709288534, Q4 : 0.996229410172}
2019-09-29 18:28:36.20: SIM {TimeUS : 48828794, Roll : -0.09, Pitch : -0.01, Yaw : 170.04, Alt : 97.9199981689, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0867601335049, Q2 : 4.12554545619e-05, Q3 : -0.00084639841225, Q4 : 0.99622887373}
2019-09-29 18:28:36.30: SIM {TimeUS : 48928754, Roll : -0.06, Pitch : -0.05, Yaw : 170.04, Alt : 98.1500015259, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0867749601603, Q2 : 0.000389627675759, Q3 : -0.000595036952291, Q4 : 0.996227741241}
