2019-04-14 04:37:28.91: SIM {TimeUS : 48134072, Roll : -0.05, Pitch : -0.05, Yaw : 359.88, Alt : 39.5800018311, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.00049993704306, Q3 : -0.00046408502385, Q4 : -0.00104578328319}
2019-04-14 04:37:29.01: SIM {TimeUS : 48234032, Roll : -0.04, Pitch : -0.04, Yaw : 359.87, Alt : 39.8100013733, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000434575136751, Q3 : -0.000416906783357, Q4 : -0.00107540294994}
2019-04-14 04:37:29.12: SIM {TimeUS : 48334825, Roll : -0.06, Pitch : -0.02, Yaw : 359.87, Alt : 40.0400009155, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000545300601516, Q3 : -0.000176632733201, Q4 : -0.00110601575579}
2019-04-14 04:37:29.21: SIM {TimeUS : 48434785, Roll : -0.06, Pitch : 0.01, Yaw : 359.86, Alt : 40.2700004578, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000549465825316, Q3 : 0.000103259248135, Q4 : -0.00114006025251}
2019-04-14 04:37:29.31: SIM {TimeUS : 48534745, Roll : -0.04, Pitch : 0.05, Yaw : 359.86, Alt : 40.5099983215, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999910593, Q2 : -0.000426101934863, Q3 : 0.00044854026055, Q4 : -0.00118238374125}
2019-04-14 04:37:29.41: SIM {TimeUS : 48634705, Roll : -0.03, Pitch : 0.06, Yaw : 359.86, Alt : 40.7400016785, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999046326, Q2 : -0.000268233969109, Q3 : 0.000601906271186, Q4 : -0.00121842091903}
2019-04-14 04:37:29.51: SIM {TimeUS : 48734665, Roll : 0.0, Pitch : 0.07, Yaw : 359.85, Alt : 40.9700012207, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999046326, Q2 : 4.51778078059e-06, Q3 : 0.000616739038378, Q4 : -0.00125253503211}
2019-04-14 04:37:29.61: SIM {TimeUS : 48834625, Roll : 0.03, Pitch : 0.08, Yaw : 359.85, Alt : 41.2000007629, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998867512, Q2 : 0.000336730765412, Q3 : 0.000714448397048, Q4 : -0.00128384225536}
2019-04-14 04:37:29.71: SIM {TimeUS : 48934585, Roll : 0.08, Pitch : 0.1, Yaw : 359.84, Alt : 41.4399986267, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998450279, Q2 : 0.000746169651393, Q3 : 0.000921324361116, Q4 : -0.0013128623832}
2019-04-14 04:37:29.81: SIM {TimeUS : 49034545, Roll : 0.11, Pitch : 0.12, Yaw : 359.84, Alt : 41.6699981689, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998033047, Q2 : 0.000967953528743, Q3 : 0.00111085281242, Q4 : -0.00134127039928}
2019-04-14 04:37:29.91: SIM {TimeUS : 49134505, Roll : 0.09, Pitch : 0.14, Yaw : 359.84, Alt : 41.9099998474, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997973442, Q2 : 0.000837853935082, Q3 : 0.00122724857647, Q4 : -0.00135593803134}
