2019-04-14 18:36:02.21: SIM {TimeUS : 48634705, Roll : -0.03, Pitch : 0.04, Yaw : 359.87, Alt : 39.6800003052, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999999284744, Q2 : -0.000326142413542, Q3 : 0.000360177655239, Q4 : -0.00107406044845}
2019-04-14 18:36:02.32: SIM {TimeUS : 48735498, Roll : -0.01, Pitch : 0.03, Yaw : 359.87, Alt : 39.9099998474, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999999403954, Q2 : -0.000105883758806, Q3 : 0.000314256467391, Q4 : -0.00106903014239}
2019-04-14 18:36:02.41: SIM {TimeUS : 48835458, Roll : 0.02, Pitch : 0.05, Yaw : 359.87, Alt : 40.1399993896, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999999284744, Q2 : 0.000214738523937, Q3 : 0.000495594693348, Q4 : -0.00106067233719}
2019-04-14 18:36:02.51: SIM {TimeUS : 48935418, Roll : 0.06, Pitch : 0.09, Yaw : 359.87, Alt : 40.3699989319, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998927116, Q2 : 0.000563668087125, Q3 : 0.000868143513799, Q4 : -0.00106401287485}
2019-04-14 18:36:02.61: SIM {TimeUS : 49035378, Roll : 0.09, Pitch : 0.14, Yaw : 359.87, Alt : 40.5999984741, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998271465, Q2 : 0.000845010799821, Q3 : 0.00127569073811, Q4 : -0.00108151091263}
2019-04-14 18:36:02.71: SIM {TimeUS : 49135338, Roll : 0.09, Pitch : 0.18, Yaw : 359.87, Alt : 40.8300018311, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997675419, Q2 : 0.000806545256637, Q3 : 0.00165304506663, Q4 : -0.00109840615187}
2019-04-14 18:36:02.81: SIM {TimeUS : 49235298, Roll : 0.04, Pitch : 0.21, Yaw : 359.86, Alt : 41.0699996948, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997496605, Q2 : 0.000405923055951, Q3 : 0.00188901263755, Q4 : -0.00113728817087}
2019-04-14 18:36:02.91: SIM {TimeUS : 49335258, Roll : 0.0, Pitch : 0.21, Yaw : 359.86, Alt : 41.2999992371, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997496605, Q2 : 1.25017995742e-05, Q3 : 0.00191255495884, Q4 : -0.00117209448945}
2019-04-14 18:36:03.01: SIM {TimeUS : 49435218, Roll : -0.02, Pitch : 0.18, Yaw : 359.86, Alt : 41.5299987793, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999997973442, Q2 : -0.000191887782421, Q3 : 0.00159875978716, Q4 : -0.00119890330825}
2019-04-14 18:36:03.11: SIM {TimeUS : 49535178, Roll : -0.02, Pitch : 0.13, Yaw : 359.85, Alt : 41.7700004578, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998509884, Q2 : -0.00024237636535, Q3 : 0.00120520812925, Q4 : -0.00123000924941}
2019-04-14 18:36:03.21: SIM {TimeUS : 49635138, Roll : -0.01, Pitch : 0.12, Yaw : 359.85, Alt : 42.0, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998629093, Q2 : -0.000137181283208, Q3 : 0.00108769512735, Q4 : -0.00126575527247}
2019-04-14 18:36:03.31: SIM {TimeUS : 49735098, Roll : 0.02, Pitch : 0.13, Yaw : 359.85, Alt : 42.2299995422, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998450279, Q2 : 0.000189179307199, Q3 : 0.00115435814951, Q4 : -0.00130548269954}
2019-04-14 18:36:03.41: SIM {TimeUS : 49835058, Roll : 0.06, Pitch : 0.13, Yaw : 359.84, Alt : 42.4700012207, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998211861, Q2 : 0.000605010078289, Q3 : 0.00120093824808, Q4 : -0.00134736543987}
2019-04-14 18:36:03.51: SIM {TimeUS : 49935018, Roll : 0.1, Pitch : 0.11, Yaw : 359.84, Alt : 42.7000007629, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999998092651, Q2 : 0.000913912721444, Q3 : 0.00104313052725, Q4 : -0.00139215262607}
